mode,run,observer,hijacked_at_t0,unreachable_at_t0,decensor_s,ping_recovered_s,reachability_lost
graceful,1,AS1,0,0,0.000,0.000,0
graceful,1,AS3,1,1,0.637,0.637,0
graceful,1,AS4,0,0,0.000,0.000,0
graceful,1,AS5,1,1,0.637,0.637,0
graceful,1,AS6,1,1,0.637,0.637,0
graceful,1,AS7,0,0,0.000,0.000,0
graceful,1,AS8,1,1,0.637,0.637,0
graceful,1,AS9,1,1,0.637,0.637,0
graceful,1,AS10,0,0,0.000,0.000,0
graceful,1,AS11,0,0,0.000,0.000,0
graceful,1,AS12,0,0,0.000,0.000,0
graceful,1,AS13,1,1,0.637,0.637,0
graceful,1,AS14,1,1,0.637,0.637,0
graceful,1,AS15,1,1,0.637,0.637,0
graceful,1,AS16,1,1,0.637,0.637,0
graceful,1,AS17,0,0,0.000,0.000,0
graceful,1,AS18,0,0,0.000,0.000,0
graceful,1,AS19,1,1,0.637,0.637,0
graceful,1,AS20,1,1,0.637,0.637,0
graceful,1,AS21,1,1,0.637,0.637,0
graceful,1,AS22,1,1,0.637,0.637,0
graceful,1,AS23,0,0,0.000,0.000,0
graceful,1,AS25,0,0,0.000,0.000,0
graceful,1,AS26,1,1,0.637,0.637,0
graceful,1,AS27,1,1,0.637,0.637,0
graceful,1,AS28,0,0,0.000,0.000,0
graceful,1,AS29,1,1,0.637,0.637,0
graceful,1,AS30,1,1,0.637,0.637,0
graceful,2,AS1,0,0,0.000,0.000,0
graceful,2,AS3,1,1,0.689,0.689,0
graceful,2,AS4,0,0,0.000,0.000,0
graceful,2,AS5,1,1,0.689,0.689,0
graceful,2,AS6,1,1,0.689,0.689,0
graceful,2,AS7,0,0,0.000,0.000,0
graceful,2,AS8,1,1,0.689,0.689,0
graceful,2,AS9,1,1,0.689,0.689,0
graceful,2,AS10,0,0,0.000,0.000,0
graceful,2,AS11,0,0,0.000,0.000,0
graceful,2,AS12,0,0,0.000,0.000,0
graceful,2,AS13,1,1,0.689,0.689,0
graceful,2,AS14,1,1,0.689,0.689,0
graceful,2,AS15,1,1,0.689,0.689,0
graceful,2,AS16,1,1,0.689,0.689,0
graceful,2,AS17,0,0,0.000,0.000,0
graceful,2,AS18,0,0,0.000,0.000,0
graceful,2,AS19,1,1,0.689,0.689,0
graceful,2,AS20,1,1,0.689,0.689,0
graceful,2,AS21,1,1,0.689,0.689,0
graceful,2,AS22,1,1,0.689,0.689,0
graceful,2,AS23,0,0,0.000,0.000,0
graceful,2,AS25,0,0,0.000,0.000,0
graceful,2,AS26,1,1,0.689,0.689,0
graceful,2,AS27,1,1,0.689,0.689,0
graceful,2,AS28,0,0,0.000,0.000,0
graceful,2,AS29,1,1,0.689,0.689,0
graceful,2,AS30,1,1,0.689,0.689,0
graceful,3,AS1,0,0,0.000,0.000,0
graceful,3,AS3,1,1,0.605,0.605,0
graceful,3,AS4,0,0,0.000,0.000,0
graceful,3,AS5,1,1,0.605,0.605,0
graceful,3,AS6,1,1,0.605,0.605,0
graceful,3,AS7,0,0,0.000,0.000,0
graceful,3,AS8,1,1,0.605,0.605,0
graceful,3,AS9,1,1,0.605,0.605,0
graceful,3,AS10,0,0,0.000,0.000,0
graceful,3,AS11,0,0,0.000,0.000,0
graceful,3,AS12,0,0,0.000,0.000,0
graceful,3,AS13,1,1,0.605,0.605,0
graceful,3,AS14,1,1,0.605,0.605,0
graceful,3,AS15,1,1,0.605,0.605,0
graceful,3,AS16,1,1,0.605,0.605,0
graceful,3,AS17,0,0,0.000,0.000,0
graceful,3,AS18,0,0,0.000,0.000,0
graceful,3,AS19,1,1,0.605,0.605,0
graceful,3,AS20,1,1,0.605,0.605,0
graceful,3,AS21,1,1,0.605,0.605,0
graceful,3,AS22,1,1,0.605,0.605,0
graceful,3,AS23,0,0,0.000,0.000,0
graceful,3,AS25,0,0,0.000,0.000,0
graceful,3,AS26,1,1,0.605,0.605,0
graceful,3,AS27,1,1,0.605,0.605,0
graceful,3,AS28,0,0,0.000,0.000,0
graceful,3,AS29,1,1,0.605,0.605,0
graceful,3,AS30,1,1,0.605,0.605,0
graceful,4,AS1,0,0,0.000,0.000,0
graceful,4,AS3,1,1,0.725,0.725,0
graceful,4,AS4,0,0,0.000,0.000,0
graceful,4,AS5,1,1,0.725,0.725,0
graceful,4,AS6,1,1,0.725,0.725,0
graceful,4,AS7,0,0,0.000,0.000,0
graceful,4,AS8,1,1,0.725,0.725,0
graceful,4,AS9,1,1,0.725,0.725,0
graceful,4,AS10,0,0,0.000,0.000,0
graceful,4,AS11,0,0,0.000,0.000,0
graceful,4,AS12,0,0,0.000,0.000,0
graceful,4,AS13,1,1,0.725,0.725,0
graceful,4,AS14,1,1,0.725,0.725,0
graceful,4,AS15,1,1,0.725,0.725,0
graceful,4,AS16,1,1,0.725,0.725,0
graceful,4,AS17,0,0,0.000,0.000,0
graceful,4,AS18,0,0,0.000,0.000,0
graceful,4,AS19,1,1,0.725,0.725,0
graceful,4,AS20,1,1,0.725,0.725,0
graceful,4,AS21,1,1,0.725,0.725,0
graceful,4,AS22,1,1,0.725,0.725,0
graceful,4,AS23,0,0,0.000,0.000,0
graceful,4,AS25,0,0,0.000,0.000,0
graceful,4,AS26,1,1,0.725,0.725,0
graceful,4,AS27,1,1,0.725,0.725,0
graceful,4,AS28,0,0,0.000,0.000,0
graceful,4,AS29,1,1,0.725,0.725,0
graceful,4,AS30,1,1,0.725,0.725,0
graceful,5,AS1,0,0,0.000,0.000,0
graceful,5,AS3,1,1,0.635,0.635,0
graceful,5,AS4,0,0,0.000,0.000,0
graceful,5,AS5,1,1,0.635,0.635,0
graceful,5,AS6,1,1,0.635,0.635,0
graceful,5,AS7,0,0,0.000,0.000,0
graceful,5,AS8,1,1,0.635,0.635,0
graceful,5,AS9,1,1,0.635,0.635,0
graceful,5,AS10,0,0,0.000,0.000,0
graceful,5,AS11,0,0,0.000,0.000,0
graceful,5,AS12,0,0,0.000,0.000,0
graceful,5,AS13,1,1,0.635,0.635,0
graceful,5,AS14,1,1,0.635,0.635,0
graceful,5,AS15,1,1,0.635,0.635,0
graceful,5,AS16,1,1,0.635,0.635,0
graceful,5,AS17,0,0,0.000,0.000,0
graceful,5,AS18,0,0,0.000,0.000,0
graceful,5,AS19,1,1,0.635,0.635,0
graceful,5,AS20,1,1,0.635,0.635,0
graceful,5,AS21,1,1,0.635,0.635,0
graceful,5,AS22,1,1,0.635,0.635,0
graceful,5,AS23,0,0,0.000,0.000,0
graceful,5,AS25,0,0,0.000,0.000,0
graceful,5,AS26,1,1,0.635,0.635,0
graceful,5,AS27,1,1,0.635,0.635,0
graceful,5,AS28,0,0,0.000,0.000,0
graceful,5,AS29,1,1,0.635,0.635,0
graceful,5,AS30,1,1,0.635,0.635,0
stop,1,AS1,0,0,0.000,0.000,0
stop,1,AS3,1,1,0.934,0.934,0
stop,1,AS4,0,0,0.000,0.000,0
stop,1,AS5,1,1,0.934,0.934,0
stop,1,AS6,1,1,0.934,0.934,0
stop,1,AS7,0,0,0.000,0.000,0
stop,1,AS8,1,1,0.934,0.934,0
stop,1,AS9,1,1,0.934,0.934,0
stop,1,AS10,0,0,0.000,0.000,0
stop,1,AS11,0,0,0.000,0.000,0
stop,1,AS12,0,0,0.000,0.000,0
stop,1,AS13,1,1,0.934,0.934,0
stop,1,AS14,1,1,0.934,0.934,0
stop,1,AS15,1,1,0.934,0.934,0
stop,1,AS16,1,1,0.934,0.934,0
stop,1,AS17,0,0,0.000,0.000,0
stop,1,AS18,0,0,0.000,0.000,0
stop,1,AS19,1,1,0.934,0.934,0
stop,1,AS20,1,1,0.934,0.934,0
stop,1,AS21,1,1,0.934,0.934,0
stop,1,AS22,1,1,0.934,0.934,0
stop,1,AS23,0,0,0.000,0.000,0
stop,1,AS25,0,0,0.000,0.000,0
stop,1,AS26,1,1,0.934,0.934,0
stop,1,AS27,1,1,0.934,0.934,0
stop,1,AS28,0,0,0.000,0.000,0
stop,1,AS29,1,1,0.934,0.934,0
stop,1,AS30,1,1,0.934,0.934,0
stop,2,AS1,0,0,0.000,0.000,0
stop,2,AS3,1,1,0.967,0.967,0
stop,2,AS4,0,0,0.000,0.000,0
stop,2,AS5,1,1,0.967,0.967,0
stop,2,AS6,1,1,0.967,0.967,0
stop,2,AS7,0,0,0.000,0.000,0
stop,2,AS8,1,1,0.967,0.967,0
stop,2,AS9,1,1,0.967,0.967,0
stop,2,AS10,0,0,0.000,0.000,0
stop,2,AS11,0,0,0.000,0.000,0
stop,2,AS12,0,0,0.000,0.000,0
stop,2,AS13,1,1,0.967,0.967,0
stop,2,AS14,1,1,0.967,0.967,0
stop,2,AS15,1,1,0.967,0.967,0
stop,2,AS16,1,1,0.967,0.967,0
stop,2,AS17,0,0,0.000,0.000,0
stop,2,AS18,0,0,0.000,0.000,0
stop,2,AS19,1,1,0.967,0.967,0
stop,2,AS20,1,1,0.967,0.967,0
stop,2,AS21,1,1,0.967,0.967,0
stop,2,AS22,1,1,0.967,0.967,0
stop,2,AS23,0,0,0.000,0.000,0
stop,2,AS25,0,0,0.000,0.000,0
stop,2,AS26,1,1,0.967,0.967,0
stop,2,AS27,1,1,0.967,0.967,0
stop,2,AS28,0,0,0.000,0.000,0
stop,2,AS29,1,1,0.967,0.967,0
stop,2,AS30,1,1,0.967,0.967,0
stop,3,AS1,0,0,0.000,0.000,0
stop,3,AS3,1,1,0.930,0.930,0
stop,3,AS4,0,0,0.000,0.000,0
stop,3,AS5,1,1,0.930,0.930,0
stop,3,AS6,1,1,0.930,0.930,0
stop,3,AS7,0,0,0.000,0.000,0
stop,3,AS8,1,1,0.930,0.930,0
stop,3,AS9,1,1,0.930,0.930,0
stop,3,AS10,0,0,0.000,0.000,0
stop,3,AS11,0,0,0.000,0.000,0
stop,3,AS12,0,0,0.000,0.000,0
stop,3,AS13,1,1,0.930,0.930,0
stop,3,AS14,1,1,0.930,0.930,0
stop,3,AS15,1,1,0.930,0.930,0
stop,3,AS16,1,1,0.930,0.930,0
stop,3,AS17,0,0,0.000,0.000,0
stop,3,AS18,0,0,0.000,0.000,0
stop,3,AS19,1,1,0.930,0.930,0
stop,3,AS20,1,1,0.930,0.930,0
stop,3,AS21,1,1,0.930,0.930,0
stop,3,AS22,1,1,0.930,0.930,0
stop,3,AS23,0,0,0.000,0.000,0
stop,3,AS25,0,0,0.000,0.000,0
stop,3,AS26,1,1,0.930,0.930,0
stop,3,AS27,1,1,0.930,0.930,0
stop,3,AS28,0,0,0.000,0.000,0
stop,3,AS29,1,1,0.930,0.930,0
stop,3,AS30,1,1,0.930,0.930,0
stop,4,AS1,0,0,0.000,0.000,0
stop,4,AS3,1,1,0.806,0.806,0
stop,4,AS4,0,0,0.000,0.000,0
stop,4,AS5,1,1,0.806,0.806,0
stop,4,AS6,1,1,0.806,0.806,0
stop,4,AS7,0,0,0.000,0.000,0
stop,4,AS8,1,1,0.806,0.806,0
stop,4,AS9,1,1,0.806,0.806,0
stop,4,AS10,0,0,0.000,0.000,0
stop,4,AS11,0,0,0.000,0.000,0
stop,4,AS12,0,0,0.000,0.000,0
stop,4,AS13,1,1,0.806,0.806,0
stop,4,AS14,1,1,0.806,0.806,0
stop,4,AS15,1,1,0.806,0.806,0
stop,4,AS16,1,1,0.806,0.806,0
stop,4,AS17,0,0,0.000,0.000,0
stop,4,AS18,0,0,0.000,0.000,0
stop,4,AS19,1,1,0.806,0.806,0
stop,4,AS20,1,1,0.806,0.806,0
stop,4,AS21,1,1,0.806,0.806,0
stop,4,AS22,1,1,0.806,0.806,0
stop,4,AS23,0,0,0.000,0.000,0
stop,4,AS25,0,0,0.000,0.000,0
stop,4,AS26,1,1,0.806,0.806,0
stop,4,AS27,1,1,0.806,0.806,0
stop,4,AS28,0,0,0.000,0.000,0
stop,4,AS29,1,1,0.806,0.806,0
stop,4,AS30,1,1,0.806,0.806,0
stop,5,AS1,0,0,0.000,0.000,0
stop,5,AS3,1,1,0.967,0.967,0
stop,5,AS4,0,0,0.000,0.000,0
stop,5,AS5,1,1,0.967,0.967,0
stop,5,AS6,1,1,0.967,0.967,0
stop,5,AS7,0,0,0.000,0.000,0
stop,5,AS8,1,1,0.967,0.967,0
stop,5,AS9,1,1,0.967,0.967,0
stop,5,AS10,0,0,0.000,0.000,0
stop,5,AS11,0,0,0.000,0.000,0
stop,5,AS12,0,0,0.000,0.000,0
stop,5,AS13,1,1,0.967,0.967,0
stop,5,AS14,1,1,0.967,0.967,0
stop,5,AS15,1,1,0.967,0.967,0
stop,5,AS16,1,1,0.967,0.967,0
stop,5,AS17,0,0,0.000,0.000,0
stop,5,AS18,0,0,0.000,0.000,0
stop,5,AS19,1,1,0.967,0.967,0
stop,5,AS20,1,1,0.967,0.967,0
stop,5,AS21,1,1,0.967,0.967,0
stop,5,AS22,1,1,0.967,0.967,0
stop,5,AS23,0,0,0.000,0.000,0
stop,5,AS25,0,0,0.000,0.000,0
stop,5,AS26,1,1,0.967,0.967,0
stop,5,AS27,1,1,0.967,0.967,0
stop,5,AS28,0,0,0.000,0.000,0
stop,5,AS29,1,1,0.967,0.967,0
stop,5,AS30,1,1,0.967,0.967,0
