run,tier,scenario,target,censor,mode,conv_run,affected,decensor_net_s,ping_net_s,reachability_lost,error
run_001,1,1_subprefix_hijack,AS24,AS2,graceful,1,24,1.985,1.985,4,
run_001,1,1_subprefix_hijack,AS24,AS2,stop,1,24,2.329,2.329,4,
run_001,2,1_subprefix_hijack,AS24,AS7,graceful,1,27,1.078,1.078,1,
run_001,2,1_subprefix_hijack,AS24,AS7,stop,1,27,2.379,2.379,3,
run_001,3,1_subprefix_hijack,AS24,AS20,graceful,1,28,1.062,1.062,0,
run_001,3,1_subprefix_hijack,AS24,AS20,stop,1,28,1.095,1.095,0,
run_002,1,1_subprefix_hijack,AS12,AS3,graceful,1,28,1.066,1.066,0,
run_002,1,1_subprefix_hijack,AS12,AS3,stop,1,28,1.308,1.308,0,
run_002,2,1_subprefix_hijack,AS12,AS4,graceful,1,27,1.130,1.130,1,
run_002,2,1_subprefix_hijack,AS12,AS4,stop,1,27,2.362,2.362,3,
run_002,3,1_subprefix_hijack,AS12,AS23,graceful,1,27,1.069,1.069,1,
run_002,3,1_subprefix_hijack,AS12,AS23,stop,1,27,1.703,0.856,1,
run_003,1,1_subprefix_hijack,AS13,AS3,graceful,1,28,1.171,1.171,0,
run_003,1,1_subprefix_hijack,AS13,AS3,stop,1,28,1.181,1.181,0,
run_003,2,1_subprefix_hijack,AS13,AS4,graceful,1,26,1.072,1.072,2,
run_003,2,1_subprefix_hijack,AS13,AS4,stop,1,26,2.303,2.303,4,
run_003,3,1_subprefix_hijack,AS13,AS26,graceful,1,23,2.056,2.056,5,
run_003,3,1_subprefix_hijack,AS13,AS26,stop,1,23,3.775,1.834,5,
run_004,1,1_subprefix_hijack,AS20,AS1,graceful,1,25,2.048,2.048,3,
run_004,1,1_subprefix_hijack,AS20,AS1,stop,1,25,2.383,2.383,3,
run_004,2,1_subprefix_hijack,AS20,AS5,graceful,1,28,1.045,1.045,0,
run_004,2,1_subprefix_hijack,AS20,AS5,stop,1,28,2.310,2.310,2,
run_004,3,1_subprefix_hijack,AS20,AS22,graceful,1,22,2.087,2.087,6,
run_004,3,1_subprefix_hijack,AS20,AS22,stop,1,22,3.904,2.011,6,
run_005,1,1_subprefix_hijack,AS18,AS3,graceful,1,27,1.087,1.087,1,
run_005,1,1_subprefix_hijack,AS18,AS3,stop,1,27,1.241,1.241,1,
run_005,2,1_subprefix_hijack,AS18,AS9,graceful,1,27,1.105,1.105,1,
run_005,2,1_subprefix_hijack,AS18,AS9,stop,1,27,2.464,2.464,3,
run_005,3,1_subprefix_hijack,AS18,AS26,graceful,1,24,2.038,2.038,4,
run_005,3,1_subprefix_hijack,AS18,AS26,stop,1,24,3.748,1.912,4,
run_006,1,1_subprefix_hijack,AS19,AS3,graceful,1,28,1.088,1.088,0,
run_006,1,1_subprefix_hijack,AS19,AS3,stop,1,28,1.204,1.204,0,
run_006,2,1_subprefix_hijack,AS19,AS6,graceful,1,25,1.042,1.042,3,
run_006,2,1_subprefix_hijack,AS19,AS6,stop,1,25,2.405,2.405,5,
run_006,3,1_subprefix_hijack,AS19,AS17,graceful,1,27,1.080,1.080,1,
run_006,3,1_subprefix_hijack,AS19,AS17,stop,1,27,1.749,0.885,1,
run_007,1,1_subprefix_hijack,AS11,AS3,graceful,1,26,3.255,0.000,28,
run_007,1,1_subprefix_hijack,AS11,AS3,stop,1,26,3.233,0.000,28,
run_007,2,1_subprefix_hijack,AS11,AS4,graceful,1,28,1.086,1.086,0,
run_007,2,1_subprefix_hijack,AS11,AS4,stop,1,28,3.373,0.000,28,
run_007,3,1_subprefix_hijack,AS11,AS28,graceful,1,28,1.068,1.068,0,
run_007,3,1_subprefix_hijack,AS11,AS28,stop,1,28,0.938,0.938,0,
run_008,1,1_subprefix_hijack,AS29,AS3,graceful,1,28,1.178,1.178,0,
run_008,1,1_subprefix_hijack,AS29,AS3,stop,1,28,1.320,1.320,0,
run_008,2,1_subprefix_hijack,AS29,AS8,graceful,1,27,1.012,1.012,1,
run_008,2,1_subprefix_hijack,AS29,AS8,stop,1,27,3.316,0.000,28,
run_008,3,1_subprefix_hijack,AS29,AS12,graceful,1,28,1.061,1.061,0,
run_008,3,1_subprefix_hijack,AS29,AS12,stop,1,28,1.036,1.036,0,
run_009,1,1_subprefix_hijack,AS14,AS1,graceful,1,26,1.075,1.075,2,
run_009,1,1_subprefix_hijack,AS14,AS1,stop,1,26,1.323,1.323,2,
run_009,2,1_subprefix_hijack,AS14,AS7,graceful,1,27,1.046,1.046,1,
run_009,2,1_subprefix_hijack,AS14,AS7,stop,1,27,2.357,2.357,3,
run_009,3,1_subprefix_hijack,AS14,AS12,graceful,1,26,1.847,1.057,2,
run_009,3,1_subprefix_hijack,AS14,AS12,stop,1,26,1.791,0.958,2,
run_010,1,1_subprefix_hijack,AS25,AS3,graceful,1,26,1.010,1.010,2,
run_010,1,1_subprefix_hijack,AS25,AS3,stop,1,26,1.234,1.234,2,
run_010,2,1_subprefix_hijack,AS25,AS4,graceful,1,28,1.034,1.034,0,
run_010,2,1_subprefix_hijack,AS25,AS4,stop,1,28,3.285,0.000,28,
run_010,3,1_subprefix_hijack,AS25,AS17,graceful,1,25,3.952,2.072,3,
run_010,3,1_subprefix_hijack,AS25,AS17,stop,1,25,3.682,1.852,3,
